river;agency;station_code;station_name;date;discharge;flag
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-08-24 00:00:00;14000;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-08-25 00:00:00;14000;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-08-26 00:00:00;13900;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-08-27 00:00:00;13700;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-08-28 00:00:00;13600;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-08-29 00:00:00;13600;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-08-30 00:00:00;13700;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-08-31 00:00:00;13700;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-09-01 00:00:00;13500;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-09-02 00:00:00;13500;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-09-03 00:00:00;13300;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-09-04 00:00:00;13000;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-09-05 00:00:00;12700;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-09-06 00:00:00;12700;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-09-07 00:00:00;12500;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-09-08 00:00:00;12400;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-09-09 00:00:00;12200;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-09-10 00:00:00;11900;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-09-11 00:00:00;11800;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-09-12 00:00:00;11800;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-09-13 00:00:00;11700;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-09-14 00:00:00;11500;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-09-15 00:00:00;11400;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-09-16 00:00:00;11500;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-09-17 00:00:00;11700;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-09-18 00:00:00;11800;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-09-19 00:00:00;11800;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-09-20 00:00:00;11900;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-09-21 00:00:00;11900;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-09-22 00:00:00;11700;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-09-23 00:00:00;11500;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-09-24 00:00:00;11400;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-09-25 00:00:00;11400;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-09-26 00:00:00;11400;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-09-27 00:00:00;11500;A
