river;agency;station_code;station_name;date;discharge;flag;Datetime;Datetime Kusur;Time to add for correction;Datetime Samoylov
Lena;Roshydromet;3821;Kyusyur;24.04.2000;2710;A;12:00:00 PM;24.04.2000 12:00;60:00:00;2000-04-27 00:00:00
Lena;Roshydromet;3821;Kyusyur;25.04.2000;2700;A;12:00:00 PM;25.04.2000 12:00;60:00:00;2000-04-28 00:00:00
Lena;Roshydromet;3821;Kyusyur;26.04.2000;2700;A;12:00:00 PM;26.04.2000 12:00;60:00:00;2000-04-29 00:00:00
Lena;Roshydromet;3821;Kyusyur;27.04.2000;2700;A;12:00:00 PM;27.04.2000 12:00;60:00:00;2000-04-30 00:00:00
Lena;Roshydromet;3821;Kyusyur;28.04.2000;2690;A;12:00:00 PM;28.04.2000 12:00;60:00:00;2000-05-01 00:00:00
Lena;Roshydromet;3821;Kyusyur;29.04.2000;2690;A;12:00:00 PM;29.04.2000 12:00;60:00:00;2000-05-02 00:00:00
Lena;Roshydromet;3821;Kyusyur;30.04.2000;2800;A;12:00:00 PM;30.04.2000 12:00;60:00:00;2000-05-03 00:00:00
Lena;Roshydromet;3821;Kyusyur;01.05.2000;2910;A;12:00:00 PM;01.05.2000 12:00;60:00:00;2000-05-04 00:00:00
Lena;Roshydromet;3821;Kyusyur;02.05.2000;3020;A;12:00:00 PM;02.05.2000 12:00;60:00:00;2000-05-05 00:00:00
Lena;Roshydromet;3821;Kyusyur;03.05.2000;3140;A;12:00:00 PM;03.05.2000 12:00;60:00:00;2000-05-06 00:00:00
Lena;Roshydromet;3821;Kyusyur;04.05.2000;3250;A;12:00:00 PM;04.05.2000 12:00;60:00:00;2000-05-07 00:00:00
Lena;Roshydromet;3821;Kyusyur;05.05.2000;3360;A;12:00:00 PM;05.05.2000 12:00;60:00:00;2000-05-08 00:00:00
Lena;Roshydromet;3821;Kyusyur;06.05.2000;3470;A;12:00:00 PM;06.05.2000 12:00;60:00:00;2000-05-09 00:00:00
Lena;Roshydromet;3821;Kyusyur;07.05.2000;3530;A;12:00:00 PM;07.05.2000 12:00;60:00:00;2000-05-10 00:00:00
Lena;Roshydromet;3821;Kyusyur;08.05.2000;3590;A;12:00:00 PM;08.05.2000 12:00;60:00:00;2000-05-11 00:00:00
Lena;Roshydromet;3821;Kyusyur;09.05.2000;3650;A;12:00:00 PM;09.05.2000 12:00;60:00:00;2000-05-12 00:00:00
Lena;Roshydromet;3821;Kyusyur;10.05.2000;3710;A;12:00:00 PM;10.05.2000 12:00;60:00:00;2000-05-13 00:00:00
Lena;Roshydromet;3821;Kyusyur;11.05.2000;3770;A;12:00:00 PM;11.05.2000 12:00;60:00:00;2000-05-14 00:00:00
Lena;Roshydromet;3821;Kyusyur;12.05.2000;3820;A;12:00:00 PM;12.05.2000 12:00;60:00:00;2000-05-15 00:00:00
Lena;Roshydromet;3821;Kyusyur;13.05.2000;3880;A;12:00:00 PM;13.05.2000 12:00;60:00:00;2000-05-16 00:00:00
Lena;Roshydromet;3821;Kyusyur;14.05.2000;3940;A;12:00:00 PM;14.05.2000 12:00;60:00:00;2000-05-17 00:00:00
Lena;Roshydromet;3821;Kyusyur;15.05.2000;4000;A;12:00:00 PM;15.05.2000 12:00;60:00:00;2000-05-18 00:00:00
Lena;Roshydromet;3821;Kyusyur;16.05.2000;4060;A;12:00:00 PM;16.05.2000 12:00;60:00:00;2000-05-19 00:00:00
Lena;Roshydromet;3821;Kyusyur;17.05.2000;4740;A;12:00:00 PM;17.05.2000 12:00;60:00:00;2000-05-20 00:00:00
Lena;Roshydromet;3821;Kyusyur;18.05.2000;5410;A;12:00:00 PM;18.05.2000 12:00;60:00:00;2000-05-21 00:00:00
Lena;Roshydromet;3821;Kyusyur;19.05.2000;6090;A;12:00:00 PM;19.05.2000 12:00;60:00:00;2000-05-22 00:00:00
Lena;Roshydromet;3821;Kyusyur;20.05.2000;6760;A;12:00:00 PM;20.05.2000 12:00;60:00:00;2000-05-23 00:00:00
Lena;Roshydromet;3821;Kyusyur;21.05.2000;13300;A;12:00:00 PM;21.05.2000 12:00;60:00:00;2000-05-24 00:00:00
Lena;Roshydromet;3821;Kyusyur;22.05.2000;26700;A;12:00:00 PM;22.05.2000 12:00;60:00:00;2000-05-25 00:00:00
Lena;Roshydromet;3821;Kyusyur;23.05.2000;38100;A;12:00:00 PM;23.05.2000 12:00;60:00:00;2000-05-26 00:00:00
Lena;Roshydromet;3821;Kyusyur;24.05.2000;49800;A;12:00:00 PM;24.05.2000 12:00;60:00:00;2000-05-27 00:00:00
Lena;Roshydromet;3821;Kyusyur;25.05.2000;55400;A;12:00:00 PM;25.05.2000 12:00;60:00:00;2000-05-28 00:00:00
Lena;Roshydromet;3821;Kyusyur;26.05.2000;82100;A;12:00:00 PM;26.05.2000 12:00;60:00:00;2000-05-29 00:00:00
Lena;Roshydromet;3821;Kyusyur;27.05.2000;110000;A;12:00:00 PM;27.05.2000 12:00;60:00:00;2000-05-30 00:00:00
