river,agency,station_code,station_name,date,discharge,flag,Datetime,Datetime Kusur,Time to add for correction,Datetime Samoylov
Lena,Roshydromet,3821,Kyusyur,1936-04-01,1320,A,12:00:00 nachm.,1936-04-01 12:00:00,60:00:00,1936-04-04 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-04-02,1320,A,12:00:00 nachm.,1936-04-02 12:00:00,60:00:00,1936-04-05 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-04-03,1310,A,12:00:00 nachm.,1936-04-03 12:00:00,60:00:00,1936-04-06 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-04-04,1300,A,12:00:00 nachm.,1936-04-04 12:00:00,60:00:00,1936-04-07 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-04-05,1290,A,12:00:00 nachm.,1936-04-05 12:00:00,60:00:00,1936-04-08 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-04-06,1280,A,12:00:00 nachm.,1936-04-06 12:00:00,60:00:00,1936-04-09 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-04-07,1280,A,12:00:00 nachm.,1936-04-07 12:00:00,60:00:00,1936-04-10 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-04-08,1270,A,12:00:00 nachm.,1936-04-08 12:00:00,60:00:00,1936-04-11 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-04-09,1260,A,12:00:00 nachm.,1936-04-09 12:00:00,60:00:00,1936-04-12 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-04-10,1250,A,12:00:00 nachm.,1936-04-10 12:00:00,60:00:00,1936-04-13 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-04-11,1240,A,12:00:00 nachm.,1936-04-11 12:00:00,60:00:00,1936-04-14 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-04-12,1240,A,12:00:00 nachm.,1936-04-12 12:00:00,60:00:00,1936-04-15 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-04-13,1230,A,12:00:00 nachm.,1936-04-13 12:00:00,60:00:00,1936-04-16 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-04-14,1220,A,12:00:00 nachm.,1936-04-14 12:00:00,60:00:00,1936-04-17 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-04-15,1210,A,12:00:00 nachm.,1936-04-15 12:00:00,60:00:00,1936-04-18 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-04-16,1200,A,12:00:00 nachm.,1936-04-16 12:00:00,60:00:00,1936-04-19 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-04-17,1200,A,12:00:00 nachm.,1936-04-17 12:00:00,60:00:00,1936-04-20 00:00:00
